id,rate,score,title
jlDakFozhgaiuYdlnqGVvQ,4,88,chinese
V6JS0EaR0Gq_SSDllaOqKw,4,87,chinese
CS6NaMbTlzD-9yc3DBBrKw,4,90,latin
eI0DpD2Xx8hFlk7eAdFCqQ,4,94,latin
FTir7qcSlmO3il2rSi0urQ,4,94,latin
0PLv5h5eRTG6fuWLpUmf4A,4,89,latin
bgoSfVaZFXDthHLbWxyeQw,4,86,latin
c1uPQc6ylqB4Pj-KYB8cpw,4,92,latin
euH1rpE4ykW88YgSsrKQqw,3.5,96,latin
lw38MxB5AReAzXQVRrOfXg,3.5,66,viet
r-NSN2mrefVCxqkquOWgaA,4.5,87,viet
zP4uciQqdVGZVf72HttgJA,3,72,chinese
QHeiQgLRI1aktqigtx3Muw,3.5,94,italian
pvD64-V2OjBUFlFs4BQ9xA,4,98,american
oi-jTQzuKRG_7q3u70LHDg,3.5,92,japanese
BqYpq6v923t4Be5Hwy0zfA,3.5,96,japanese
eG5VcB6XuSp-C1mAggD_Cg,4,86,french
DcYKlWYozXovDDGY1VZk0Q,2.5,96,french
TkI_23ROVAsSDLg6ovzdYw,3.5,94,japanese
xij-evVK6YrU5b1_TKAqsw,3.5,98,japanese
Xnm-vHeO_T3C7rfVyRMXig,4,94,japanese
KJ5SsBC-OmwFT1iCMh-Rsg,4,85,latin
NLc5sKgqHcH95qMoCGikJg,4,71,latin
sasR19uB_5lsk5MT3wgQMQ,4,90,latin
2EGucgCJbPhkHjPTnZCzrg,4,85,latin
5q4iWQKGIcFl6KfyWEI7-A,4,85,latin
0Yw-OWhZAU8BI852cx21ug,4,86,chinese
FmGF1B-Rpsjq1f5b56qMwg,4.5,87,chinese
JJnkXwf96vh1Uu7XZWZZAg,4,98,french
PTFxtXS47ZVRCdZIrEWvGw,4.5,92,italian
sQaHwhP1s9wVOencbEGrkQ,4,83,chinese
YqvoyaNvtoC8N5dA8pD2JA,4,92,italian
7qSq-m4LRu3PAfroD-LKJg,3.5,85,latin
Fo5Wscbb9rwcLuaO-sc2zQ,4,88,chinese
C0whbbQhUMBv8X-Mmtqrcg,3.5,92,chinese
BNclpAIcHH8v0zC2w5jdXQ,4,96,chinese
mk2WW5bA-0WfQP1Uo17_Sg,3.5,87,viet
AQviX2W0XXJqYtc73KaNxQ,4,94,viet
UFX2mEq82sF8kpuSUkAZ3g,3.5,91,viet
TEvPUNNIRNdiLLKYcKTFVg,4,96,viet
tHJQH4je6TrwJxotjHtP_g,4,94,viet
EKjWDdbDE1qCk8HECVxD8A,5,96,viet
O-UenHinrjyX1poNa4Cafw,3.5,98,viet
I2B05NZUgigDU24PtTvlwQ,4,92,chinese
Nvc1XZVJZhp2CHbh_hTLUw,3.5,94,chinese
mzLa9Ye79zLiKxvExCngtw,3,96,chinese
sBMuIHnFUmtBs86iV4ZNeQ,4,88,chinese
7SRJWnPVRxwqke3d82qefw,4,96,chinese
uauHhqLPVP0ug-_qCzzT9Q,3.5,87,thai
LFxokisnLXNgVKpM_fJZqA,3.5,67,chinese
NGPpY1rZSuWZ7Sqdi43mCQ,4,74,chinese
ZPVCTXm4olsIEk4rWwAIWQ,3.5,85,chinese
QAfE9I-fVTF_zQtTjILsMQ,4,92,chinese
27jQXgyYIFvVSXaiF47YrQ,3.5,84,latin
Syaydy3OIMsziI1spwAanA,4,85,italian
gKaBgL0FS7JBjBAKU69foA,4,87,italian
a65f7jC8nGBZfmW31EtHbg,4,90,latin
IHcOOCDt_NOENttBE7lWSg,3,87,thai
ZzlQeq0FH1m8AXoHF3qnpA,3.5,85,italian
HSLPjCmw6r_LrzmrNVScsw,4.5,90,italian
oY2Jvi31y-7qMctAHR8Wnw,4,92,italian
b1zMlSbFOk5MfxJ_HiB4SA,4.5,87,italian
eOCVoXsOEnbr9c89RD0UEQ,4,84,italian
DlLsw9bJMJ-YdnrUp2G7mw,4,81,american
uAVg1yq5kb3Ia2Ve5_K5HQ,4.5,87,american
QjnmVuqVArA7d-syiUCiUw,4,88,american
F7cpHf8ovSaZhQSTRQAVkw,4,74,italian
7tGDE-dZMXCraDNQYRwKow,2.5,90,italian
GnReX_ZUNEL39c7AiWhGjA,3.5,89,american
LOnMdHbYlpkRy0T2lf28fw,3.5,96,american
9MuV8P0WwlWPidYY2eC8Vg,4,69,chinese
VNwBoUcgy5FbiurWXgtDHg,3,88,chinese
Cj9Orl6DQnOR75qT-l3jCA,4,77,viet
L1CQQFWSP9AbGtcGIyfptg,2.5,94,viet
uZybAaC88oLnqR1FEUamGQ,4,90,viet
RW6XYLXNxLHZFQKc4bczlw,3.5,81,viet
3236WheGABGCs6hdshWnjA,3.5,76,latin
DpZYSh3CLj2A1B5jCVXvfw,4,100,japanese
BLcV0Z4nzKLkCjneKrTclA,4,92,japanese
w83ZWz4tEBTIct6l8GS7TQ,4,100,japanese
PzbzvmEnn7cs7WmbmlD7ew,3,90,latin
ZX5XUU9z1nmoUyiuPtjSLg,4,77,thai
LbafZvZKbs1G1_RhkJJUxA,4,72,latin
l_wjG88ec7v-FHTyp-k4cQ,3.5,91,latin
D1-_5ff4aic1-7rLqzUd4g,3.5,74,chinese
cac6q5C271Yve86zQl5ScQ,3.5,90,viet
BORik_MbIabFgzdFRVLDvQ,4.5,87,viet
2ocTtBOx-1TghQrBxFjORg,3.5,78,viet
l4IwXobNj4dVxz2eGP6hPw,2.5,100,viet
6dpogM9AfMtNcXswIDJ1sg,4,88,viet
RyMG16yT-rON-uscR3QFwg,4,94,viet
C36BK5luxi-8apVMMhsizQ,3.5,98,viet
AA1wdUC-d3XyHp_6G2dD_w,4,83,american
6BMxNLbCSQIe72nYGiJBXA,3.5,85,american
o9KZAEgORSys5J4oqiGtEg,4,83,latin
9kqooKOcH_o-KuumqAGIpQ,3.5,74,japanese
Yoi7EGQTub3lWg-x6ubJEQ,3,80,latin
kM64kcWiK3TqhB0HeAUGeg,4.5,94,latin
uXfKnbkDgtIPKw48MeQdKA,4,87,latin
d77g3hmKBhcksWR4LKGS_w,4,85,latin
c22FFlw_mGsT1TcgZpOo8w,4.5,80,latin
2hR4tWOCcz88HFYB4U3FkA,4.5,100,latin
Di4kb-1tnjP5OKFuV8qbUA,4,81,viet
UyA7m3aI7SB0hWdMzlwGWQ,3.5,92,viet
AMo18ayQeXDlEaeYG_GGKA,4.5,100,viet
EB5Luwg0aGXORbJjIY6syg,2.5,86,latin
OzFb5aZuA3RGV_YZlxorNg,4,92,japanese
RbTr1hKjgkte-wiUXKSrCQ,3,94,chinese
Irzn8SThab39vigvKXjMzA,4,87,latin
p2UxlDCm7aIP9jpK6g1e5A,4,81,latin
_zu83bXlHo-76rawc_E8gw,3.5,92,latin
A9QDUzIGMcybhLhtPDSN4A,4,87,italian
dPR81xmmtcTx126HMZlaKQ,3.5,85,american
yxfq9eICLD5M4Sw5Fddc0A,3.5,88,american
Ew12TaYkYC3bkUiJ36gdLg,4,96,american
A2lE5KbHZrbkke-_XNjKRw,3,100,american
hPz83m43JzMUzgAoE3SgzA,3.5,71,chinese
KiQuvELzKiHx5qg3RWaoxg,3.5,85,japanese
2sNnba1Y2-oVZHwhp0vEcg,3.5,92,japanese
T1BuzZTXl9fjT31wbG1GuA,3.5,94,japanese
USbpXRK2pFey0V24QcgXsQ,4,100,japanese
aB_jimByFRPpde3LC13ucw,4,87,american
6zXVo_uK_GVqN3Z0t5KFHQ,3.5,90,american
eEcYruNImvfVGPZ8RmjBBw,4,100,american
4YQg81cDjn2Ei7NYvRHXpA,3.5,85,french
OFqs9YvnjG-ic7TUEAscMQ,3,98,french
CvmIfaftFA4bp0HBnwQ_bw,3.5,88,italian
imNRDs0iUHjsxaWOvIGwNg,3.5,87,japanese
Oso0WyQvRWlgTq4GFvr5Sg,3,89,italian
gFcSLTJo3HXdkXScg0FgcA,4,100,french
MDTJK0mH5Xc14aCwNuMg7Q,4,94,italian
KK2_oX8TbDd4BOa0Nunn2w,3.5,79,chinese
ld0mW_4EUFVK-izi5mD3GA,3.5,87,chinese
8O2Z292anffuimm9OXkbUA,4,90,chinese
FsJymPpKKM2mtzMDpSVxiA,3.5,86,chinese
uxsyxN9uJZoZ5jobVBM3sg,4,79,chinese
b3mmxh_9aw25vkMmujG9jQ,3.5,87,chinese
lbhoHNWZVSQxPqkA2AgknQ,3.5,73,chinese
gqVl3RprESEqkIPeJH0yOg,4,92,french
8me3E8m_LxwSuf_BZKNqjQ,4,85,french
E57pVQIALaavqxkbobVRow,3,92,french
-nIP9n7HTQx9BENjEkzV0w,3,72,chinese
HCTOtXfbGDTcYsnE_gl35Q,3.5,85,american
